ruleId,name,shortDescription,fullDescription,enabled,level,tags,description,kind,precision,problem.severity,security-severity,sub-severity
py/use-of-input,py/use-of-input,'input' function used in Python 2,"The built-in function 'input' is used which, in Python 2, can allow arbitrary code to be run.",true,error,"security, correctness, security/cwe/cwe-94, security/cwe/cwe-95","The built-in function 'input' is used which, in Python 2, can allow arbitrary code to be run.",problem,high,error,9.8,high
py/bind-socket-all-network-interfaces,py/bind-socket-all-network-interfaces,Binding a socket to all network interfaces,Binding a socket to all interfaces opens it up to traffic from any IPv4 address and is therefore associated with security risks.,true,error,"security, external/cwe/cwe-200","Binding a socket to all interfaces opens it up to traffic from any IPv4 address
 and is therefore associated with security risks.",problem,high,error,6.5,low
py/incomplete-hostname-regexp,py/incomplete-hostname-regexp,Incomplete regular expression for hostnames,Matching a URL or hostname against a regular expression that contains an unescaped dot as part of the hostname might match more hostnames than expected.,true,warning,"correctness, security, external/cwe/cwe-020",Matching a URL or hostname against a regular expression that contains an unescaped dot as part of the hostname might match more hostnames than expected.,problem,high,warning,7.8,
py/incomplete-url-substring-sanitization,py/incomplete-url-substring-sanitization,Incomplete URL substring sanitization,Security checks on the substrings of an unparsed URL are often vulnerable to bypassing.,true,warning,"correctness, security, external/cwe/cwe-20",Security checks on the substrings of an unparsed URL are often vulnerable to bypassing.,problem,high,warning,7.8,
py/overly-large-range,py/overly-large-range,Overly permissive regular expression range,Overly permissive regular expression ranges match a wider range of characters than intended. This may allow an attacker to bypass a filter or sanitizer.,true,warning,"correctness, security, external/cwe/cwe-020","Overly permissive regular expression ranges match a wider range of characters than intended.
              This may allow an attacker to bypass a filter or sanitizer.",problem,high,warning,5.0,
py/path-injection,py/path-injection,Uncontrolled data used in path expression,Accessing paths influenced by users can allow an attacker to access unexpected resources.,true,error,"correctness, security, external/cwe/cwe-022, external/cwe/cwe-023, external/cwe/cwe-036, external/cwe/cwe-073, external/cwe/cwe-099",Accessing paths influenced by users can allow an attacker to access unexpected resources.,path-problem,high,error,7.5,high
py/command-line-injection,py/command-line-injection,Uncontrolled command line,Using externally controlled strings in a command line may allow a malicious user to change the meaning of the command.,true,error,"correctness, security, external/cwe/cwe-078, external/cwe/cwe-088","Using externally controlled strings in a command line may allow a malicious
              user to change the meaning of the command.",path-problem,high,error,9.8,high
py/reflective-xss,py/reflective-xss,Reflected server-side cross-site scripting,Writing user input directly to a web page allows for a cross-site scripting vulnerability.,true,error,"security, external/cwe/cwe-079, external/cwe/cwe-116","Writing user input directly to a web page
              allows for a cross-site scripting vulnerability.",path-problem,high,error,6.1,high
py/sql-injection,py/sql-injection,SQL query built from user-controlled sources,Building a SQL query from user-controlled sources is vulnerable to insertion of malicious SQL code by the user.,true,error,"security, external/cwe/cwe-089","Building a SQL query from user-controlled sources is vulnerable to insertion of
              malicious SQL code by the user.",path-problem,high,error,8.8,
py/ldap-injection,py/ldap-injection,LDAP query built from user-controlled sources,Building an LDAP query from user-controlled sources is vulnerable to insertion of malicious LDAP code by the user.,true,error,"security, external/cwe/cwe-090","Building an LDAP query from user-controlled sources is vulnerable to insertion of
              malicious LDAP code by the user.",path-problem,high,error,9.8,
